店名,住所,営業時間,定休日,座席,緯度,経度
ラーメン二郎 柏店,〒277-0872 千葉県柏市十余二249-5 マルハンメガシティ柏店内,10:30～16:00※営業時間は前後する場合あり,日曜日,カウンター11席、テーブル6席,35.881977,139.957626
それいけ！たかちゃんラーメン,〒306-0052 茨城県古河市大山564-5,11:00〜14:00／17:45〜23:00（L.O.）[土・日・祝] 11:00〜15:00／17:45〜23:00（L.O.）,無休,カウンター7席、テーブル4人掛×2卓,36.148769,139.717056
大盛軒,茨城県日立市みなと町5779-25,11:30〜15:00（平日は14:30） 17:30〜22:00（麺切れ終了、日曜は夜20:30閉店）,月曜日,12席,36.493580,140.617615
Smart Pig,〒306-0012 茨城県古河市旭町2-9-4,11:00〜14:00／17:30〜20:30（L.O.）日・祝 11:00 〜15:00（各L.O.）※材料無くなり次第終了,月曜（祝の場合翌日）,カウンター8席,36.197006,139.723816
麺処 はいから,〒305-0025 茨城県つくば市花室732,11:00〜14:30（L.O.14:15）18:00〜21:00（L.O.20:45）,日曜日,カウンター8席、テーブル2×3卓,36.088959,140.128052
俺の生きる道 W,〒305-0005 茨城県つくば市天久保3-8-1,18:00〜22:30,無休,カウンター12席、テーブル4席×1卓,36.104652,140.104034
麺屋 むすぶ,〒318-0021 茨城県高萩市安良川270-9,"昼11:00〜14:00, 夜17:00〜19:30（食材なくなり次第閉店） 日曜日は、昼のみの営業",毎週月曜日、火曜日,テーブル席x3、小上がり席x2,36.709358,140.713272
茨城豚そば 特龍 本店,〒300-0331 茨城県稲敷郡阿見町阿見600,18:00〜22:00（L.O.21:30）[土・日・祝] 11:30〜14:30／18:00〜22:00（L.O.21:30）,無休※臨時休業は公式Xにてポスト,カウンター9席,36.051914,140.215591
立川マシマシ 古河125号店,〒306-0233 茨城県古河市西牛谷276,11:30〜15:00／18:00〜23:30※ラストオーダーは各30分前,無休,10席,36.205025,139.743835
ラーメン 富次郎 笠間友部店,〒309-1737 茨城県笠間市中央3-6-14,11:30〜14:00／17:30〜22:00,月曜日,カウンター6席、テーブル4席×3卓、2席×5卓、座敷あり,36.343826,140.301651
麺屋 とん嬉,〒300-0838 茨城県土浦市摩利山新田273-5,11:00～14:30／17:30～21:00（ラストオーダー）※材料切れ次第終了  ラストオーダー30分後に閉店,月曜日,カウンター3席、テーブル 4×3卓、2×2卓,36.039051,140.176498
特級鶏蕎麦龍介 テクノパーク桜店,茨城県つくば市桜1丁目23-7,11:30〜15:00（l.o.14:30）17:30〜22:00（l.o.21:30）,,カウンター14席、テーブル5卓,36.112938,140.115189
ハイマウントJ つくば店,〒300-3257 茨城県つくば市筑穂1-13-2,11:00〜15:00／18:00〜23:00,,カウンター14席、テーブル3卓,36.134766,140.085266
俺の生きる道  水戸駅らー麺街道店,〒310-0015 茨城県水戸市宮町1-7-31   エクセルみなみ4F,11:00〜22:00（L.O.21:30）,無休,カウンター17席、テーブル2席×6卓,36.369995,140.476166
