店名,住所,営業時間,定休日,座席,緯度,経度
麺ハチイチ／81 NOODLE BAR,〒180-0004 東京都武蔵野市吉祥寺本町2-21-10 モミジ第三ビル1階,11:00～15:00／17:00～23:00（L.O.22:30）,未定,カウンター7席、テーブル2×1卓,35.703270,139.575897
ラーメン豚山 東京ラーメン横丁店,〒104-0028 東京都中央区八重洲2-1 八重洲地下街 北1号,11:00～23:00 （L.O..22:30）,無休,カウンター14席,35.679859,139.769608
松木田田,〒192-0362 東京都八王子市松木15-10,11:00～24:00,無休,,35.626446,139.391678
ラーメン欽福 両国本店,〒130-0026 東京都墨田区両国2-12-15,[月～金] 11:00～14:30／17:00～21:00[土] 11:00～15:00,日・祝,,35.695091,139.791336
麺屋じゃいあん 花小金井店,〒187-0002 東京都小平市花小金井1-1-10  K＆Kビル 1F,11:30〜24:00[日・祝] 11:30〜22:00,不定休,19席,35.728497,139.477478
豚山 池袋西口店,〒171-0021 東京都豊島区西池袋5-1-10,11:00〜翌2:00,無休,カウンター14席,35.731720,139.706726
ラーメン豚山 門前仲町店,〒135-0047 東京都江東区富岡1丁目9-8,11:00～23:00,無休,,35.671261,139.797852
豚山 上野店,〒110-0005 東京都台東区上野3-17-7,11:00～24:00,無休,カウンター12席,35.706230,139.772537
ラーメンむねや,〒124-0024 東京都葛飾区新小岩4-10-1,18:00～24:00 （L.O.23:30）[土]11:00～15:00 （L.O.14:30）17:00～24:00 （L.O.23:30）[日]11:00～20:00 （L.O.19:30）,月曜日,8席（うちミニテーブルに3席あり）,35.718304,139.861679
ラーメン専門 宮の森,〒152-0002 東京都目黒区目黒本町3-5-7,平日12:00〜L.o14:30、17:30〜L.o20:00【土曜祝日：基本LorD営業、日曜：基本閉業、当日Ⅹでお知らせ】,日曜日。品切れ・休業など、随時Xにて更新。,,35.620686,139.702484
醤油らーめん きび太郎,〒111-0032 東京都台東区浅草2-13-3 都ビル1F,18:00〜翌4:00,月曜※祝日の場合は営業、翌日休,15席,35.715355,139.792755
らぁ麺 玉椿,〒184-0011 東京都小金井市東町4-38-26  トーケンプラザビル1F,【昼の部】11:30〜15:30【夜の部】18:00〜23:00【土.日】11:30〜15:30,不定休につきTwitterにて確認,カウンター6席,35.699841,139.524338
麺屋 三郎,〒130-0022 東京都墨田区江東橋3丁目3-4 江東橋スクエアビル1F,11:30〜15:00,日曜日、土曜日,カウンター 9席,35.693729,139.813736
ポークヌードル内藤,〒151-0071 東京都渋谷区本町2-4-3,18:00〜23:00[金・祝前] 18:00〜24:00※ラストオーダーは各10分前,土曜、日曜、祝日,カウンター11席,35.683376,139.684128
ラーメン鷹の目 明大前店,〒156-0043 東京都世田谷区松原2-45-2,11:00〜15:00／17:00〜22:00※各ラストオーダー※売り切れ次第終了,無休,10席,35.668335,139.650131
らーめん バリ男 神楽坂店,〒162-0825 東京都新宿区神楽坂6-8,平日昼の部11:00～15:45火曜日は夜営業は無し月曜、水曜から金曜日の夜の部17:00～21:00土・日・祝日昼11:00～15:45夜17:00～21:00※L.O.15分前麺切れ次第終了,年末年始、その他不定休あり,,35.703541,139.736679
麺屋 敬 萩山駅前店,〒189-0012 東京都東村山市萩山町2-2-1,11:30〜15:00／17:00〜22:00,不定休,11席,35.740643,139.476501
麺処 MAZERU,〒101-0025 東京都千代田区神田佐久間町1-14 第2東ビル1F,11:30～15:00／17:30～21:00,日曜・祝日,カウンター8席,35.697800,139.774399
ラーメン大 堀切店,〒124-0006 東京都葛飾区堀切4-57-14 カネコビル1F,11:30～翌1:00ラストオーダー24:45,無休,カウンター8席,35.748440,139.827164
麺でる 多摩センター店,〒206-0031 東京都多摩市豊ヶ丘1-21-6,11:00〜15:00／18:00〜麺切れ（23:00頃）,無休,カウンター9席,35.627644,139.429886
野郎ラーメン 大森店,〒143-0046 東京都大田区大森北1-3-9,11:00～23:00,,カウンター17席、テーブル8席,35.587440,139.728622
ラーメン豚山 吉祥寺店,〒180-0003 東京都武蔵野市吉祥寺南町1-2-2,,無休,,35.702320,139.580124
豚山 町田店,〒194-9913 東京都町田市原町田6-20-3 あさのビル1F,11:00～24:00,無休,,35.543777,139.447647
俺の生きる道 立川店,〒190-0023 東京都立川市柴崎町3-4-4 すいれんビル1F,11:00〜14:30、17:00〜24:00,,,35.697124,139.415085
麺屋みのわ,〒195-0054 東京都町田市三輪町314-5,11:30〜14:30／17:00〜22:00,水曜日,カウンターと座敷で16席,35.578678,139.500214
らーめん こじろう 526,〒150-0033 東京都渋谷区猿楽町1-3 竜王ビルIII 1F,平日  11:30〜15:00／17:30〜21:00 （麺切れ終了）土曜日 11:30～15:00／17:30～20:00 （麺切れ終了）祭日  11:30～15:00 （麺切れ終了）,日曜,カウンターのみ8席,35.653507,139.705170
豚山 荻窪店,〒167-0043 東京都杉並区上荻1-5-9,11:00〜15:00／18:00〜24:00,無休,,35.705112,139.622086
豚山 蒲田店,〒144-0052 東京都大田区蒲田5-45-5 ドミール蒲田1F,11:00～23:00,無休,カウンター15席,35.560204,139.716614
らーめん大 大久保店,〒169-0073 東京都新宿区百人町1-20-3 バラードハイム渡辺ビル103,11:00～翌2:30[日・祝] 11:00～翌1:00,日曜,9席 （カウンターのみ）,35.700230,139.696198
こちとら立石麺豚酒場 粋な豚,〒124-0012 東京都葛飾区立石1-20-12,11:15〜14:00／17:30〜21:30[土・祝] 11:15〜14:00／17:30〜20:30,日曜日,カウンター8席、テーブル4席,35.737206,139.849319
狼煙屋,〒207-0004 東京都東大和市清水6-1257-17,11:00〜21:00,水曜,カウンター10席,35.746071,139.445740
豪麺MARUKO,東京都葛飾区東金町1-21-1,11:30～15:00／18:00～22:00（L.O.21:55）※売り切れ次第終了,不定休（当分の間は日曜日定休）,カウンター9席,35.769932,139.869049
八王子田田,〒192-0084 東京都八王子市三崎町 4-10 三崎セントラルビル1F,11:00～翌2:00,,,35.657673,139.337021
らーめん大 平井店,〒132-0035 東京都江戸川区平井5-12-5,11:00～15:00、17:00～21:00,無休,カウンター10席，テーブル2席×2,35.707085,139.840622
連,〒143-0014 東京都大田区大森中2-2-1 大森中2丁目市街地住宅102号,11:30～14:30／17:30～23:30[日] 11:30〜14:30／17:30〜21:00,第2日曜日,カウンター11席,35.567730,139.729752
jun-pey ra-men 成瀬本店,〒194-0044 東京都町田市成瀬1-4-2,11:00〜22:00[金・土] 24:00まで,不定休（休日はメルマガにて配信）,カウンター・テーブル・小上がりで28席,35.547733,139.472733
豚山 五反田店,〒141-0022 東京都品川区東五反田1-26-6,11:00〜翌2:00,無休,カウンター14席,35.625858,139.724136
ぶっ豚 聖蹟桜ヶ丘店,〒206-0011 東京都多摩市関戸2-39-17 桜ヶ丘コートビレッジ1F,11:30～15:3017:00～23:00,,,35.650051,139.448990
麺屋 音 別邸,〒120-0034 東京都足立区千住4-19-11,11:30～24:00,無休,カウンター8席,35.752590,139.803650
淳之助製麺所,〒165-0031 東京都中野区上鷺宮4-16-6,11:00～22:00,無休,11席,35.734676,139.629700
立川マシマシ 国分寺店,〒185-0012 東京都国分寺市本町2-3-1,11:00～15:00／17:00～22:00,,14席,35.700657,139.483231
おどるめんAKIRA,東京都のいろいろな場所,提供場所によって変わる,基本、土日,なし,35.694004,139.753632
豚山 下高井戸店,〒156-0044 東京都世田谷区赤堤4-45-11,11:00～23:00,無休,,35.665989,139.640167
BUTAKIN 新宿歌舞伎町店,〒160-0021 東京都新宿区歌舞伎町1-11-8 TC第7歌舞伎町ビル 1F,11:00～15:00／18:00〜翌5:00,無休,20席,35.695324,139.702881
豚山 幡ヶ谷店,〒151-0072 東京都渋谷区幡ヶ谷2-13-3,11:00～15:00／18:00～22:00,日曜日,カウンター15席,35.677479,139.676987
らーめん ぎょうてん屋 町田店,〒194-0013 東京都町田市原町田4-11-13,,無休,カウンター22席,35.542210,139.448669
ラーメンタロー 大森の陣,〒143-0016 東京都大田区大森北1-3-12,11:00〜15:30／16:30〜23:30[日] 11:00〜21:00,無休（年末年始休業あり）,カウンター9席,35.587677,139.728561
麺屋にぼじ,〒144-0051 東京都大田区西蒲田7-1-5 宮本ビル1F,11:00〜14:3017:30〜20:30（L.O.15分前）,水曜日,カウンター9席,35.563541,139.716232
豚山 高田馬場店,〒169-0075 東京都新宿区高田馬場1-26-12 高田馬場ビル1F,11:00〜23:00,,,35.712814,139.705582
麺屋 婆娑羅,〒145-0062 東京都大田区北千束3-23-8,11:30〜14:30、18:00〜21:30 土曜は昼のみ、日・祝は夜のみ,無休（年末年始・盆は休みあり 要確認）,カウンター16席。端から座るよう言われる場合あり。,35.606499,139.686279
三代目 らーめん 千,〒178-0063 東京都練馬区東大泉3-19-5 中嶋第6ビル 1F,11:30～15:00／17:00～22:00※ラストオーダーは各30分前,月曜日,8席,35.751328,139.585815
豚ギャング,〒192-0072 東京都八王子市南町6-11,,,,35.659115,139.332733
らーめん大 大森店,〒143-0012 東京都大田区大森東1-3-12,11:30〜翌1:00（L.O. 24:45）,無休,カウンター7席,35.575630,139.734711
ラーメン梅 梅島店,〒121-0816 東京都足立区梅島3-8-11,11:15〜14:30／17:00〜22:00,火曜日,カウンター10席,35.776314,139.797409
らーめん 凌駕,〒145-0062 東京都大田区北千束3-29-11,11:00〜22:00（L.O.）,日曜日,9席,35.606617,139.685364
まぜそば 七,東京都渋谷区桜丘町16-10,[平日] 11:30〜22:45（L.O.）[土・日・祝] 11:30〜21:45（L.O.）,無休,カウンター17席,35.656651,139.700974
ラーメンタロー 五反田の陣,〒141-0031 東京都品川区西五反田8-4-15,11:00〜15:30／16:00〜翌1:30[日] 11:00〜22:00,無休,カウンター10席,35.622849,139.722610
らーめん大 高円寺店,〒166-0003 東京都杉並区高円寺南4-7-1 カトレアビル1F,[月〜土] 11:00〜15:00／17:00〜翌1:30[日・祝] 11:00〜24:00,無休,カウンター8席,35.703114,139.649796
ラーメン つづき 新小岩店,〒124-0024 東京都葛飾区新小岩1-51-1 ますやビル 1F,11:30～15:00／17:00～22:00※ラストオーダーは各30分前（オープン～6／15は昼のみ）,木曜,,35.714809,139.860504
ラーメン大 下高井戸店,〒168-0073 東京都杉並区下高井戸1-3-10 アポー下高井戸1F,[平日] 11:30～15:00／17:00～翌1:00[日・祝] 11:00～15:00,,カウンター8席,35.667297,139.640457
マシマシらーめん 物語はここから始まるのだ。 大井競馬場前店,〒140-0012 東京都品川区勝島1-5-13 グランロジテラス品川 2F,11:00〜15:00、17:00〜21:30,,カウンター5席、テーブル6席,35.596230,139.745209
WILDラーメン,〒162-0051 東京都新宿区西早稲田2-18-25,11:30〜15:00／17:30〜21:00※ラストオーダーは各30分前※チャーシュー完売次第終了,日曜,,35.710663,139.711990
立川マシマシ,東京都立川市錦町1-2-16 立川アーバンホテル 立川らーめんたま館内,11:00～15:00／17:00～23:00[土・日] 11:00～23:00,無休,カウンター15席,35.697098,139.416199
飯田橋大勝軒,〒102-0071 東京都千代田区富士見2-12-16,11:00〜15:30／17:30〜19:30※売り切れ次第終了,日曜、土曜（年末年始およびお盆に臨時休業あり）,15席（カウンターのみ）,35.698948,139.744690
THE魚郎,〒171-0021 東京都豊島区西池袋5-1-3 メトロシティ西池袋 1F,11:00〜22:30（L.O.22:00）,不定休,カウンター11席、テーブル2卓,35.731514,139.706497
ら〜めん ぽっぽっ屋 晴海トリトン店,〒104-0053 東京都中央区晴海1-8-16 晴海トリトン3F,11:00～23:00[土・日・祝] 11:00～22:00※ラストオーダーは各60分前,無休,カウンター10席（内、席はリバービュー）、テーブル4席,35.655556,139.781830
らーめん 三極志,〒116-0014 東京都荒川区東日暮里6-10-1,11:00～15:00／18:00～20:00,火曜日,カウンター10席,35.730408,139.778641
肉そば千,〒167-0053 東京都杉並区西荻南3-7-7,11:30〜24:00,無休,,35.702545,139.600937
ぶっ豚 仙川店,〒182-0002 東京都調布市仙川町1-14-33 秋山ビル1F,11:00～23:00,無休,カウンター9席、テーブル4席×2、2×3席,35.660046,139.584824
俺の生きる道 水道橋店,〒101-0061 東京都千代田区神田三崎町2-16-10,11:00〜22:00,,カウンター8席 2人掛けテーブルx2,35.700886,139.753418
ぶっ豚 調布店,〒182-0024 東京都調布市布田1-45-6  ライオンズマンション1F,11:00～翌3:00,無休,,35.652378,139.545670
ラーメン二郎 池袋東口店,〒171-0022 東京都豊島区南池袋2-27-17,11:00〜14:30（当面の間）,月曜・火曜,カウンター14席,35.728195,139.713913
ラーメン鷹の目 江古田店,〒176-0006 東京都練馬区栄町4-1,11:00〜15:0017:00〜22:00,,,35.737034,139.672073
ラーメン盛太郎,〒101-0047 東京都千代田区内神田3-17-10 中島ビル1F,11:00～23:00[土] 11:00～21:00[日・祝] 11:00～15:00,,14席,35.692020,139.769974
六麓 豚らーめん,〒102-0072 東京都千代田区飯田橋1-3-8 KDビル1F,11:00〜15:00／17:00〜22:00[日] 11:00〜15:00,,,35.698036,139.749969
らーめん大 練馬店,〒176-0012 東京都練馬区豊玉北5-32-9,11:00～翌1:00 昼 夜の2部制になってます。夜は17時〜,不定休,カウンター9席,35.736961,139.652695
175°DENO担担麺 TOKYO,〒160-0023 東京都新宿区西新宿7-2-4MSビル1F,11:00～21:45L.O.(22:00close),水曜,22席(カウンター、2名さまテーブル4）,35.695099,139.698685
MASHI NO MASHI TOKYO,〒106-0032 東京都港区東京都港区六本木4丁目5-11 SIX1F,18:00〜21:00（L.O.20:00）,日曜、月曜,,35.663116,139.760574
立川田田,〒190-0023 東京都立川市柴崎町2-3-2,11:00〜翌2:00,無休,15席,35.696552,139.411560
神勢。,〒113-0033 東京都文京区本郷三丁目39-9,[平日] 11:30～23:00[土・日・祝] 11:30～23:00（L.O.22:45）,無休,カウンター9席  テーブル3×2席,35.707417,139.763153
ラーメン豚壱,〒188-0012 東京都西東京市南町4-4-2 プリンスプラザ田無1F,11:30〜14:30／17:00〜22:30,月曜日,6席,35.727222,139.540665
ラーメン 麺徳 東陽町店,〒135-0016 東京都江東区東陽3-15-3,11:00～14:30／18:00～スープ切れ終了[土] 11:00～14:30,日曜,カウンター13席程度,35.670422,139.811127
ちいかわラーメン 豚 池袋パルコ,〒171-0022 東京都豊島区南池袋1-28-2 池袋パルコ本館 8F,11:00〜22:00,,,35.727123,139.710342
豚星,〒144-0055 東京都大田区仲六郷2-13-13,11:00〜14:00[金・土・日] 11:00〜20:00,月曜日、第1火曜日,カウンター11席,35.551136,139.714478
ラーメン 神田店,〒103-0021 東京都中央区日本橋本石町4-4-17,11:00〜14:30、17:00〜20:30（土曜日は11:00〜14:00）,日曜日、祝日,カウンターのみ12席程度,35.688583,139.771423
さんば,〒103-0026 東京都中央区日本橋兜町11-11,月〜金11:00〜14:00、17:00〜23:00 土11:00〜翌2:00,日曜、祝祭日,カウンター13席,35.679749,139.776276
豚と脂。,〒135-0042 東京都江東区木場5-4-10,11:00～23:00,無休,25席,35.669529,139.807007
ラーメン豚好 野上町店,〒198-0032 東京都青梅市野上町4-9-28 グリーンハイム 1F,10:30～15:00／17:00～21:00,定休日なし（臨休あり）✕かInstagramに投稿します。,,35.786961,139.292389
野郎ラーメン 錦糸町店,〒130-0022 東京都墨田区江東橋3-8-12 KINSIA ANNEX1F,11:00～翌1:00,無休,カウンター16席,35.695007,139.814896
らーめん大 蒲田店,〒144-0052 東京都大田区蒲田5-1-5 第三菊池ビル1F,11:30〜翌1:00,毎週水曜日 第1，3，5木曜日,カウンター8席,35.564068,139.717087
麺処 はっぴ～,〒101-0065 東京都千代田区西神田2-8-11  西村ビル 1F,10:30〜23:00（L.O.22:45）,日曜日,,35.699665,139.755951
風神ノ豚,東京都台東区東上野4丁目3-1,11:00〜15:00（オーダーストップ 14:30）,土曜日・日曜日,11席,35.712151,139.778839
らーめん忍者,〒101-0023 東京都千代田区神田松永町17-3 秋葉原妙見屋ビル1F,7:30～23:00,無休,カウンター9席,35.700043,139.775024
らーめん安,〒113-0033 東京都文京区本郷3-28-13,,,,35.705956,139.761978
ラーメン イエロー 新宿御苑前店,〒160-0004 東京都新宿区四谷4-28-17 大木戸ビル1F,11:00～22:00※材料切れで早めの閉店の場合あり。,日曜,カウンター9席,35.687859,139.715210
ラーメン 盛 竹ノ塚店,〒121-0813 東京都足立区竹ノ塚1-40-1,11:00〜24:00,不定休,,35.793121,139.791306
ラーメンイエロー 狛江店,〒201-0003 東京都狛江市和泉本町1-2-6,11:30〜15:00／17:30〜22:00,火曜日,,35.633865,139.578903
麺屋杉郎,〒141-0022 東京都品川区東五反田1丁目25-19,11:00〜15:00、17:00〜23:00,,カウンター10席,35.626011,139.727814
鶏そば みた葉,〒160-0021 東京都新宿区歌舞伎町1-3-16 東金ビル1F,月曜～土曜11:30～15:00／17:00～翌6:00日曜17:00～翌6:00,無休,カウンター15席,35.694328,139.703934
肉汁らーめん 公 kimi,〒140-0001 東京都品川区北品川2-25-10,11:00～23:00、日・祝11:00～22:00,なし（不定休）,カウンター11席、テーブル8席,35.618855,139.744995
野郎ラーメン 浅草橋西口店,〒111-0053 東京都台東区浅草橋1-23-2,11:00〜23:00,,カウンター16席,35.697594,139.783752
高木のぶぅ,〒189-0001 東京都東村山市秋津町5-13-21,11:00～翌1:00※売り切れ次第終了,日曜日,カウンター9席,35.777744,139.494141
まぜそば 渋谷 チョップス,〒150-0022 東京都渋谷区宇田川町26-3 サンルイビル 1F,[月～土]11:00～翌6:00[日・祝日]11:00～翌3:00,無休,12席,35.659866,139.699005
あぶら麺 とりどり,東京都北区東田端2-9-1 第二田嶋ビル105,11:00〜22:30,,14席,35.740902,139.761322
瞠 池袋店,〒170-0013 東京都豊島区東池袋1-31-16 東商ビル3 1F,11:00〜22:00,無休,カウンター12席,35.731773,139.716553
野郎ラーメン 三軒茶屋店,〒154-0004 東京都世田谷区太子堂4-24-16,日～火:11:00～23:00 （L.O.22:30）水～土:11:00～翌4:00 （L.O. 3:30）,無休,カウンター19席,35.644783,139.670547
つけめん らーめん 荒海,東京都渋谷区代々木2-16-10,11:00～翌3:00（売り切れ次第閉店）日・祝 ～21:00,無休,カウンター10席,35.686756,139.696075
ラーメン豚栄,〒176-0001 東京都練馬区練馬1丁目11-3 ミラエル練馬Ⅱ,11:00〜15:00／18:00〜23:00,水曜日,,35.738003,139.651001
ぶっ豚 町田店,〒194-0013 東京都町田市原町田4-6-8,11:00～15:30／17:00～23:00,無休,,35.541523,139.449402
ラーメン富士丸  西早稲田店,〒169-0072 東京都新宿区新宿区大久保2丁目8-16 コスモスビル,月〜土11:00〜15:00頃17:00〜20:45頃日曜11:00〜17:00,無休,カウンター11席,35.689556,139.712250
自家製麺 夢で逢えたら,〒192-0902 東京都八王子市上野町15-4 上野町ビル1F,,,,35.655495,139.328140
ヤンナラヤロウヨ,〒121-0813 東京都足立区竹の塚1-28-10,11:00～15:00／17:30～22:00,日曜,,35.792870,139.790390
らーめんNo.7,〒102-0073 東京都千代田区九段北1-4-4,,,10席程度,35.696499,139.751190
日野田田,〒191-0011 東京都日野市日野本町2-20-7,11:00〜翌1:00,無休,,35.678726,139.396988
えび豚骨拉麺 春樹 東十条店,〒114-0001 東京都北区東十条3-15-8,11:00～翌1:30[日・祝] 11:00〜24:00,無休,25席,35.765850,139.728012
ぶっ豚 成城店,〒157-0066 東京都世田谷区成城6-14-2 三輪ビル1F,11:00～15:00／16:00～23:00,,,35.640926,139.599411
CLUB THE PEPPER,〒150-0043 東京都渋谷区道玄坂1-2-3 東急プラザ渋谷 5F,18:00～23:00（L.O.22:00）[日] 18:00～22:00,無休,162席,35.657677,139.700531
凛 渋谷店,〒150-0042 東京都渋谷区宇田川町6ー20 パラシオン渋谷1階,11:00～15:00／18:00～22:00,無休,カウンター4席、テーブル16席,35.662846,139.697281
ナポ二郎,〒152-0031 東京都目黒区中根1-5-1,23:00～翌5:00,日曜日・月曜日,カウンター7席,35.617252,139.675919
ラーメン二郎 新宿歌舞伎町店,〒160-0021 東京都新宿区歌舞伎町2-37-5 日新ビル1階,営業時間11時30分～翌日2時30分までのうちの時間帯昼の部 11:30 ～ 15:00中休み 15:00 ～ 17:00夜の部 17:00 ～ 翌2:30,水曜不定休,カウンター14席,35.696198,139.701874
味噌路六本木,〒106-0032 東京都港区六本木7-13-5 萩原ビル1階,20:30〜翌6:00,日曜日,18席,35.664055,139.730591
ラーメン二郎 新宿小滝橋通り店,〒160-0023 東京都新宿区西新宿7-5-5,11:00〜22:00,無休（元旦除く）,カウンター 13席、テーブル 6席,35.696323,139.698318
肉野菜炒め ベジ郎 アリオ北砂店,〒136-0073 東京都江東区北砂2-17-1  アリオ北砂 1F,10:00〜22:00,,,35.681305,139.826630
豚吉 潮見店,〒135-0052 東京都江東区潮見2-7-9  スーパーマーケットマルエツ1F,11:00～22:00（L.O.21:45）,年末年始,35席,35.658409,139.816956
ラーメンゴリラ,〒155-0031 東京都世田谷区北沢1-44-18  カモシダハウス1F,18:00〜21:00,日曜日,10席,35.662037,139.672287
ワシワシ東京 駒沢大学店,〒154-0011 東京都世田谷区上馬4-6-8,当分の間不定期営業（営業する日はその日の営業時間前に公式Xでつぶやきます）,当分の間不定期営業（営業する日はその日の営業時間前に公式Xでつぶやきます）,,35.634335,139.660522
ちいかわレストラン THE GUEST cafe&diner 池袋パルコ店,東京都豊島区南池袋1丁目28-2 池袋PARCO 本館7F,CAFE▶ 11:00 ～ 21:30（L.O.20:30）,,,35.727123,139.710342
ぶっ豚 下北沢店,〒155-0031 東京都世田谷区北沢2-20-14 マツヤ本社ビル B101号,11:00〜15:30／17:00〜23:00,,,35.661190,139.667343
麺処 万事屋,〒169-0051 東京都新宿区西早稲田3-31-10  ミリオンステージ西早稲田壱番館 1F,10:30～23:00,無休,6席,35.714062,139.712311
ラーメン豚乃家,〒770-0813 徳島県徳島市中常三島町3-9-1 野崎ビル1F,11:00～21:00※売り切れ次第終了,不定休,,34.079685,134.564377
麺屋 零ベース,〒770-0812 徳島県徳島市北常三島町1-10-14,"11:00〜15:00,18:00～20:30",,,34.080933,134.560974
麺の。,〒771-1253 徳島県板野郡藍住町矢上安任139-1,金‐火 11:00〜15:00／17:00〜20:30水   11:00〜16:00,木曜日,18席,34.138393,134.496933
ラーメン二郎 栃木街道店,〒321-0225 栃木県下都賀郡壬生町本丸2-15-67,[平日] 11:30～14:45 18:00～21:00[土] 11:30～16:00※いずれも麺切れにて終了,日曜定休、祝祭日不定休,"カウンター10席,テーブル4",36.422985,139.794800
ハイマウント,〒323-0820 栃木県小山市西城南4丁目20-7,,,31席,36.292282,139.806503
ラーメン武丸,〒320-0053 栃木県宇都宮市戸祭町2732-1,11:15〜14:30／18:00〜21:30[月] 11:15〜14:30,無休,カウンター 14席,36.575130,139.877914
ジラフ,〒321-4364 栃木県真岡市長田124-14,11:30〜14:30[金・土] 11:30〜14:30／18:00〜21:00,日曜日,カウンター11席,36.437458,139.972748
麺屋 櫻弐,〒328-0028 栃木県栃木市園部町3-17-21,"月,木 11:00〜14:00 ／ 17:30〜20:00水,金 11:00〜14:00土,日,祝日 11:00〜15:00",火曜,21席,36.382416,139.734116
らーめん じろきん,〒321-0961 栃木県宇都宮市今泉新町200,11:30〜14:00／18:00〜21:00[火・土] 11:30〜15:00,木曜日、第3水曜日,,36.573261,139.913177
手打 手綱,〒325-0026 栃木県那須塩原市上厚崎374-2,17:30〜21:00頃※不定期営業※営業日は公式Xにてポスト,,,36.962620,140.029800
ラーメン O,〒320-0061 栃木県宇都宮市宝木町1-22-6,11:00〜14:30[月・金] 11:00〜14:00／18:00〜21:00,水曜,カウンター9,36.574696,139.854874
ラーメン貴丸,〒321-3233 栃木県宇都宮市上籠谷町3570-1,11:15〜14:00／17:45〜20:00[日] 11:15〜14:30,月曜日,,36.531517,139.965042
麺屋 大金,〒321-0983 栃木県宇都宮市御幸本町4650-5,火-土 11:00〜14:15 ／ 18:00〜20:30日 11:00〜15:00,月曜,カウンタ8席，小上がり2卓,36.576012,139.925644
立川マシマシ 足利総本店,〒326-0816 栃木県足利市緑町2丁目23-1,11:00～15:00／18:00～23:30,無休,カウンター10席,36.333977,139.431335
立川マシマシ 小山店,〒323-0822 栃木県小山市駅南町4丁目19-7,11:30～14:30、18:00～22:30（各30分前L.O.）,,,36.300793,139.812286
豚骨醤油らー麺 相澤屋,〒321-0603 栃木県那須烏山市谷浅見930-4,11:00～14:30／18:00～21:00,月曜,カウンター7席、テーブル6席、座敷4~6席×2卓,36.693741,140.154221
麺屋 たか,〒324-0046 栃木県大田原市加治屋83-178,11:00～14:30／17:30～21:20[日] 11:00～20:00,月曜※祝日の場合は営業、翌日休曜,15席,36.854382,139.994446
ラーメン 平山,〒325-0033 栃木県那須塩原市埼玉241ー2,11:00～14:00／18:00～20:00※売り切れ次第終了,月曜,,36.961227,140.013229
ラーメン ガジロー,栃木県宇都宮市大塚町12-24,11:00～14:30／18:00～翌1:00[日・祝] 11:00～14:30／18:00～22:00,月曜,カウンター6席 小上がり2卓,36.533939,139.858185
WILD PIG,〒327-0818 栃木県佐野市米山南町18-1 FISTA101,11:00〜14:30／17:30〜23:00,月曜日,カウンター14席、4人掛けテーブル2卓,36.321686,139.605011
若旦那,栃木県栃木市箱森町38-37,11:00〜14:00／18:00〜23:30[土・日] 11:00〜23:30※材料なくなり次第終了,不定休,,36.394993,139.722336
豚のオオモリ製作所,〒321-0151 栃木県宇都宮市西川田町974-1,11:00〜14:30／17:30〜20:45,無休,,36.530422,139.855011
麺屋 一心,〒327-0844 栃木県佐野市富岡町1720-7,11:30〜14:00／18:00〜20:00,火曜日,カウンター 7席 、テーブル:4席×3卓,36.316631,139.600769
ラーメン ジャンクス,〒321-0923 栃木県宇都宮市下栗697ー20,11:30〜14:30／18:00〜20:30,日曜、木曜,,36.537746,139.900543
ラーメンヒカリ 宇都宮店,〒321-0162 栃木県宇都宮市大和1丁目8-21,11:00〜15:30／17:30〜21:00※売り切れ次第終了,水曜,,36.532757,139.865768
麺屋 さくら,〒321-0934 栃木県宇都宮市簗瀬町1593-1,11:30～14:30／18:00～22:00[金・土] 11:30～14:30／18:00～22:30※売り切れ次第終了,日曜日、祝日の月曜日,カウンター8席,36.542030,139.890671
豚そば 竜の道,〒321-4361 栃木県真岡市並木町1-11-13,11:30〜14:00（L.O.）／18:00〜20:30（L.O.）,,カウンター8席,36.441231,140.001831
ラーメン クマジロウ,〒321-0942 栃木県宇都宮市峰3-31-28,17:00〜翌2:00,水曜日,14席,36.550251,139.918793
景勝軒 栃木総本店,〒321-0200 栃木県下都賀郡壬生町安塚853-1,11:00〜22:00,定休日なし,,36.484028,139.827789
麺屋大和,〒323-0822 栃木県小山市駅南町3-26-9,11:30〜23:00,無休,"テーブル:2席×5, 4席×6,  座敷:4席×1, 6席×3  ファミレス級",36.303665,139.809891
麺'sラッキーパンチ,〒325-0026 栃木県那須塩原市上厚崎354-1,11:00～15:00,月曜,14席,36.957600,140.033051
ラーメン ヒカリ,〒323-0811 栃木県小山市犬塚8-9-5,11:30〜14:30／18:00〜21:00※売り切れ次第終了,ほぼ年中無休,,36.299759,139.830841
ラーメン山崎,〒323-0807 栃木県小山市城東7-18-2  アペックス 1F,11:30〜14:30／18:00〜21:00 [日] 11:30～14:30,月曜日,,36.307575,139.820297
RAMEN K,〒321-0624 栃木県那須烏山市旭1-8-24,朝の部 7:30〜9:30昼の部 11:00〜14:30夜の部 17:00〜20:30,火曜日,カウンター7、テーブル3,36.653893,140.162491
ラーメン たかはし,〒325-0025 栃木県那須塩原市下厚崎51,11:00〜14:40 17:00〜21:00[土・日・祝] 11:00〜20:20,月曜日※祝日の場合は営業、翌日休,14席,36.946381,140.044373
景勝軒 栃木平柳町店,栃木県栃木市平柳町2-24-28,11:00～15:00／18:00～22:00,無休,,36.393848,139.750061
